class,top_left_x,top_left_y,w,h,img_size_x,img_size_y,name,date,takes,path
grenouille,1242,236,208,343,1920,1080,2017-03-10T02:20:00.jpg,2017-03-10 02:20:00,474,camera_06_unnested/2017-03-10T02:20:00.jpg
grenouille,1242,191,214,279,1920,1080,2017-03-10T02:20:01.jpg,2017-03-10 02:20:01,474,camera_06_unnested/2017-03-10T02:20:01.jpg
grenouille,1312,101,141,307,1920,1080,2017-03-10T02:20:02.jpg,2017-03-10 02:20:02,474,camera_06_unnested/2017-03-10T02:20:02.jpg
grenouille,1151,340,220,239,1920,1080,2017-03-10T02:20:22.jpg,2017-03-10 02:20:22,475,camera_06_unnested/2017-03-10T02:20:22.jpg
grenouille,1151,334,200,234,1920,1080,2017-03-10T02:20:23.jpg,2017-03-10 02:20:23,475,camera_06_unnested/2017-03-10T02:20:23.jpg
grenouille,1129,320,242,262,1920,1080,2017-03-10T02:20:24.jpg,2017-03-10 02:20:24,475,camera_06_unnested/2017-03-10T02:20:24.jpg
grenouille,1140,306,200,276,1920,1080,2017-03-10T02:20:25.jpg,2017-03-10 02:20:25,475,camera_06_unnested/2017-03-10T02:20:25.jpg
grenouille,1157,334,194,256,1920,1080,2017-03-10T02:20:26.jpg,2017-03-10 02:20:26,475,camera_06_unnested/2017-03-10T02:20:26.jpg
triton,1295,382,99,183,1920,1080,2017-03-23T04:55:21.jpg,2017-03-23 04:55:21,5532,camera_04_unnested/2017-03-23T04:55:21.jpg
triton,1315,357,96,194,1920,1080,2017-03-23T04:55:22.jpg,2017-03-23 04:55:22,5532,camera_04_unnested/2017-03-23T04:55:22.jpg
triton,1312,368,118,158,1920,1080,2017-03-23T04:55:23.jpg,2017-03-23 04:55:23,5532,camera_04_unnested/2017-03-23T04:55:23.jpg
triton,1301,363,110,141,1920,1080,2017-03-23T04:55:24.jpg,2017-03-23 04:55:24,5532,camera_04_unnested/2017-03-23T04:55:24.jpg
triton,1306,351,104,146,1920,1080,2017-03-23T04:55:25.jpg,2017-03-23 04:55:25,5532,camera_04_unnested/2017-03-23T04:55:25.jpg
triton,1306,340,96,152,1920,1080,2017-03-23T04:55:26.jpg,2017-03-23 04:55:26,5532,camera_04_unnested/2017-03-23T04:55:26.jpg
triton,1323,312,51,118,1920,1080,2017-03-23T04:55:27.jpg,2017-03-23 04:55:27,5532,camera_04_unnested/2017-03-23T04:55:27.jpg
