camera,file,plank
13,2017-03-31T18:01:01.jpg,1.0
13,2017-04-14T15:39:25.jpg,1.0
13,2017-03-05T13:32:41.jpg,1.0
13,2017-03-18T05:05:07.jpg,1.0
13,2017-03-19T00:46:27.jpg,1.0
13,2017-04-15T14:57:14.jpg,1.0
13,2017-04-01T02:38:59.jpg,1.0
13,2017-04-13T09:03:38.jpg,1.0
13,2017-04-07T17:49:23.jpg,1.0
13,2017-04-13T15:57:13.jpg,1.0
13,2017-03-19T05:18:27.jpg,1.0
13,2017-03-02T01:23:49.jpg,1.0
13,2017-03-25T05:24:02.jpg,1.0
13,2017-03-20T22:00:37.jpg,1.0
13,2017-04-01T02:40:30.jpg,1.0
13,2017-03-10T10:14:29.jpg,1.0
13,2017-03-19T21:08:37.jpg,1.0
13,2017-04-13T14:39:49.jpg,1.0
13,2017-03-19T18:05:46.jpg,1.0
13,2017-03-17T16:07:41.jpg,1.0
13,2017-04-16T14:26:27.jpg,1.0
13,2017-03-18T21:26:00.jpg,1.0
13,2017-03-24T02:57:21.jpg,1.0
13,2017-04-06T17:38:47.jpg,1.0
13,2017-03-16T17:00:37.jpg,1.0
13,2017-03-17T16:24:58.jpg,1.0
13,2017-03-22T22:04:30.jpg,1.0
13,2017-04-06T15:18:34.jpg,1.0
13,2017-04-19T13:20:37.jpg,1.0
13,2017-03-14T17:17:15.jpg,1.0
13,2017-03-17T10:18:21.jpg,1.0
13,2017-04-04T14:42:16.jpg,1.0
13,2017-04-13T11:14:21.jpg,1.0
13,2017-04-15T07:55:11.jpg,1.0
13,2017-04-02T09:16:19.jpg,1.0
13,2017-04-10T17:56:29.jpg,1.0
13,2017-04-16T17:09:06.jpg,1.0
13,2017-03-02T16:50:44.jpg,1.0
13,2017-04-05T18:16:23.jpg,1.0
13,2017-04-18T22:18:58.jpg,0.0
13,2017-03-15T01:16:09.jpg,1.0
13,2017-04-12T16:16:55.jpg,1.0
13,2017-04-15T07:46:01.jpg,1.0
13,2017-03-05T22:11:23.jpg,0.0
13,2017-03-15T17:33:59.jpg,1.0
13,2017-04-05T12:43:23.jpg,1.0
13,2017-03-24T19:05:09.jpg,1.0
13,2017-03-28T16:45:07.jpg,1.0
13,2017-04-20T09:26:08.jpg,1.0
13,2017-03-20T17:57:25.jpg,1.0
13,2017-03-05T00:06:08.jpg,0.0
13,2017-04-10T02:06:05.jpg,0.0
13,2017-02-27T15:11:08.jpg,1.0
13,2017-04-13T17:39:54.jpg,1.0
13,2017-03-18T22:28:15.jpg,1.0
13,2017-03-17T16:19:40.jpg,1.0
13,2017-04-14T00:32:23.jpg,0.0
13,2017-03-27T15:35:56.jpg,1.0
13,2017-02-28T13:31:17.jpg,1.0
13,2017-03-30T23:34:00.jpg,1.0
13,2017-03-28T14:42:27.jpg,1.0
13,2017-03-04T12:37:02.jpg,1.0
13,2017-03-13T12:39:48.jpg,1.0
13,2017-04-16T12:47:29.jpg,1.0
13,2017-04-18T18:40:46.jpg,1.0
13,2017-04-16T10:18:53.jpg,1.0
13,2017-03-19T22:23:25.jpg,1.0
13,2017-04-07T18:20:48.jpg,1.0
13,2017-03-28T22:13:26.jpg,1.0
13,2017-04-07T15:51:38.jpg,1.0
13,2017-04-15T18:32:48.jpg,1.0
13,2017-04-04T15:16:20.jpg,1.0
13,2017-04-12T17:41:37.jpg,1.0
13,2017-03-17T15:22:10.jpg,1.0
13,2017-03-22T04:31:01.jpg,1.0
13,2017-02-27T16:14:28.jpg,1.0
13,2017-03-27T17:47:47.jpg,1.0
13,2017-04-12T16:34:30.jpg,1.0
13,2017-03-17T17:22:24.jpg,1.0
13,2017-03-29T17:36:11.jpg,1.0
13,2017-04-16T13:49:27.jpg,1.0
13,2017-03-01T05:14:16.jpg,1.0
13,2017-03-24T19:17:57.jpg,1.0
13,2017-02-25T17:17:54.jpg,1.0
13,2017-03-15T17:10:22.jpg,1.0
13,2017-04-12T16:34:31.jpg,1.0
13,2017-04-03T14:07:43.jpg,1.0
13,2017-04-16T05:26:54.jpg,0.0
13,2017-04-18T15:57:29.jpg,1.0
13,2017-03-02T11:13:24.jpg,1.0
13,2017-04-02T04:08:37.jpg,1.0
13,2017-03-19T06:15:53.jpg,1.0
13,2017-04-12T18:23:15.jpg,1.0
13,2017-03-24T23:15:37.jpg,1.0
13,2017-04-16T14:28:03.jpg,1.0
13,2017-04-09T19:54:41.jpg,0.0
13,2017-04-15T10:43:23.jpg,1.0
13,2017-03-16T20:52:33.jpg,1.0
13,2017-04-15T07:51:31.jpg,1.0
13,2017-03-23T16:40:59.jpg,1.0
13,2017-03-17T19:16:23.jpg,1.0
13,2017-03-15T16:43:46.jpg,1.0
13,2017-03-18T23:44:10.jpg,1.0
13,2017-04-13T18:24:11.jpg,1.0
13,2017-04-09T20:40:09.jpg,0.0
13,2017-03-02T11:53:02.jpg,1.0
13,2017-04-19T10:33:11.jpg,1.0
13,2017-04-04T14:58:26.jpg,1.0
13,2017-03-20T16:35:19.jpg,1.0
13,2017-04-11T15:03:19.jpg,1.0
13,2017-04-14T17:33:08.jpg,1.0
13,2017-04-07T15:49:18.jpg,1.0
13,2017-03-23T02:27:28.jpg,1.0
13,2017-02-25T17:07:30.jpg,1.0
13,2017-04-11T10:20:00.jpg,1.0
13,2017-03-09T18:55:40.jpg,1.0
13,2017-03-23T20:08:26.jpg,1.0
13,2017-03-14T15:39:45.jpg,1.0
13,2017-03-21T11:45:51.jpg,1.0
13,2017-04-14T11:43:52.jpg,1.0
13,2017-04-19T11:53:28.jpg,1.0
13,2017-03-19T03:34:55.jpg,1.0
13,2017-03-09T10:52:36.jpg,1.0
13,2017-04-15T15:18:30.jpg,1.0
13,2017-03-19T21:27:52.jpg,1.0
13,2017-04-04T05:50:13.jpg,1.0
13,2017-03-16T21:14:04.jpg,1.0
13,2017-03-29T17:45:40.jpg,1.0
13,2017-03-17T17:39:23.jpg,1.0
13,2017-03-13T17:55:33.jpg,1.0
13,2017-03-22T15:21:05.jpg,1.0
13,2017-03-19T17:43:04.jpg,1.0
13,2017-03-23T19:58:59.jpg,1.0
13,2017-03-29T17:52:42.jpg,1.0
13,2017-03-10T15:36:38.jpg,1.0
13,2017-03-28T17:53:16.jpg,1.0
13,2017-02-27T16:03:59.jpg,1.0
13,2017-04-19T11:43:19.jpg,1.0
13,2017-03-13T13:11:32.jpg,1.0
13,2017-04-15T15:33:41.jpg,1.0
13,2017-03-20T16:12:03.jpg,1.0
13,2017-03-16T17:19:29.jpg,1.0
13,2017-04-13T13:13:09.jpg,1.0
13,2017-03-31T17:49:42.jpg,1.0
13,2017-04-05T18:09:42.jpg,1.0
13,2017-03-31T22:41:42.jpg,1.0
13,2017-03-13T18:12:09.jpg,1.0
13,2017-04-19T10:29:42.jpg,1.0
13,2017-03-29T17:45:10.jpg,1.0
13,2017-04-19T12:41:03.jpg,1.0
13,2017-04-11T09:46:45.jpg,1.0
13,2017-03-27T22:12:00.jpg,1.0
